2023-04-30 01:14:51.729 [main] INFO  com.portal.MainApp - StartupInfoLogger.logStarted:61 - Started MainApp in 3.166 seconds (JVM running for 4.068)
2023-04-30 01:14:57.906 [http-nio-9090-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/noteassets] - DirectJDKLog.log:173 - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-04-30 01:14:57.907 [http-nio-9090-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet.initServletBean:525 - Initializing Servlet 'dispatcherServlet'
2023-04-30 01:14:57.917 [http-nio-9090-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet.initServletBean:547 - Completed initialization in 10 ms
2023-04-30 01:17:06.976 [main] INFO  com.portal.MainApp - MainApp.main:38 - contex :: /noteassets
2023-04-30 01:17:06.980 [main] INFO  com.portal.MainApp - MainApp.test:49 - ****************** Test ***************
2023-04-30 01:17:07.276 [main] INFO  org.springframework.boot.devtools.restart.RestartApplicationListener - RestartApplicationListener.onApplicationStartingEvent:77 - Restart disabled due to System property 'spring.devtools.restart.enabled' being set to false
2023-04-30 01:17:07.811 [main] INFO  com.portal.MainApp - StartupInfoLogger.logStarting:55 - Starting MainApp on DESKTOP-EVVDSQV with PID 10804 (D:\Wokspace\OWN_NOTEASSETS\note_assets\client_portal\target\classes started by Maddy in D:\Wokspace\OWN_NOTEASSETS\note_assets\client_portal)
2023-04-30 01:17:07.813 [main] INFO  com.portal.MainApp - SpringApplication.logStartupProfileInfo:651 - No active profile set, falling back to default profiles: default
2023-04-30 01:17:07.912 [main] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - DeferredLog.logTo:225 - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-04-30 01:17:09.591 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - TomcatWebServer.initialize:108 - Tomcat initialized with port(s): 9090 (http)
2023-04-30 01:17:09.605 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - DirectJDKLog.log:173 - Initializing ProtocolHandler ["http-nio-9090"]
2023-04-30 01:17:09.606 [main] INFO  org.apache.catalina.core.StandardService - DirectJDKLog.log:173 - Starting service [Tomcat]
2023-04-30 01:17:09.606 [main] INFO  org.apache.catalina.core.StandardEngine - DirectJDKLog.log:173 - Starting Servlet engine: [Apache Tomcat/9.0.36]
2023-04-30 01:17:09.744 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/noteassets] - DirectJDKLog.log:173 - Initializing Spring embedded WebApplicationContext
2023-04-30 01:17:09.745 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - ServletWebServerApplicationContext.prepareWebApplicationContext:285 - Root WebApplicationContext: initialization completed in 1833 ms
2023-04-30 01:17:10.050 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - ExecutorConfigurationSupport.initialize:181 - Initializing ExecutorService 'applicationTaskExecutor'
2023-04-30 01:17:10.356 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - DirectJDKLog.log:173 - Starting ProtocolHandler ["http-nio-9090"]
2023-04-30 01:17:10.397 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - TomcatWebServer.start:220 - Tomcat started on port(s): 9090 (http) with context path '/noteassets'
2023-04-30 01:17:10.414 [main] INFO  com.portal.MainApp - StartupInfoLogger.logStarted:61 - Started MainApp in 3.157 seconds (JVM running for 3.953)
2023-04-30 01:17:18.402 [http-nio-9090-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/noteassets] - DirectJDKLog.log:173 - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-04-30 01:17:18.403 [http-nio-9090-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet.initServletBean:525 - Initializing Servlet 'dispatcherServlet'
2023-04-30 01:17:18.411 [http-nio-9090-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet.initServletBean:547 - Completed initialization in 8 ms
2023-04-30 01:17:18.467 [http-nio-9090-exec-1] WARN  org.springframework.web.servlet.resource.ResourceHttpRequestHandler - ResourceHttpRequestHandler.isInvalidPath:671 - Path with "WEB-INF" or "META-INF": [WEB-INF/views/index.jsp]
2023-04-30 01:19:00.968 [main] INFO  com.portal.MainApp - MainApp.main:38 - contex :: /noteassets
2023-04-30 01:19:00.971 [main] INFO  com.portal.MainApp - MainApp.test:49 - ****************** Test ***************
2023-04-30 01:19:01.261 [main] INFO  org.springframework.boot.devtools.restart.RestartApplicationListener - RestartApplicationListener.onApplicationStartingEvent:77 - Restart disabled due to System property 'spring.devtools.restart.enabled' being set to false
2023-04-30 01:19:01.827 [main] INFO  com.portal.MainApp - StartupInfoLogger.logStarting:55 - Starting MainApp on DESKTOP-EVVDSQV with PID 1268 (D:\Wokspace\OWN_NOTEASSETS\note_assets\client_portal\target\classes started by Maddy in D:\Wokspace\OWN_NOTEASSETS\note_assets\client_portal)
